,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2
n=1,0.00031280517578125,0.000141143798828125,0.0001201629638671875,0.00011110305786132812,0.00010848045349121094
n=2,0.0002872943878173828,0.00022983551025390625,0.0002231597900390625,0.00022339820861816406,0.00022745132446289062
n=3,0.0004076957702636719,0.0003676414489746094,0.0003647804260253906,0.0003581047058105469,0.0003609657287597656
n=4,0.0006837844848632812,0.0005862712860107422,0.0007104873657226562,0.0007562637329101562,0.0006201267242431641
n=8,0.0010292530059814453,0.0009701251983642578,0.0007045269012451172,0.0006501674652099609,0.0006425380706787109
n=16,0.0013217926025390625,0.0013110637664794922,0.0013127326965332031,0.001291513442993164,0.001359701156616211
n=32,0.002147197723388672,0.001997709274291992,0.001990795135498047,0.0019571781158447266,0.0018489360809326172
n=64,0.003262042999267578,0.003217935562133789,0.0030088424682617188,0.0026276111602783203,0.002599000930786133
n=128,0.005338191986083984,0.007384538650512695,0.004948616027832031,0.004559993743896484,0.004291534423828125
n=256,0.011217355728149414,0.010558128356933594,0.00966191291809082,0.008798599243164062,0.00824737548828125
